,Country,Lag,Our Model,Population,Total Cases
0,Albania,26.253,35.454,2895947,36790.0
1,Andorra,12.034,15.914,?,6681.0
2,Austria,293.741,297.589,8527230,274275.0
3,Belgium,750.231,734.018,11225469,577409.0
4,Bulgaria,110.469,141.715,7245677,141751.0
5,Bosnia and Herzegovina,101.235,110.023,3791622,85441.0
6,Belarus,78.867,109.198,9475100,133352.0
7,Switzerland,339.963,330.386,8183800,317017.0
8,Czech Republic,533.954,531.391,10521600,518649.0
9,Germany,717.620,969.463,80783000,1042700.0
10,Denmark,77.318,86.645,5655750,78354.0
11,Spain,1222.648,1405.847,46507760,1628208.0
12,Estonia,16.762,17.242,1315819,11714.0
13,Finland,32.102,34.962,5470437,24328.0
14,France,2750.654,2873.527,66078000,2208699.0
15,Faeroe Islands,2.219,1.962,?,502.0
16,United Kingdom,1123.762,1358.526,64105654,1605172.0
17,Guernsey,1.059,0.943,63085,286.0
18,Greece,92.157,107.097,10992589,103034.0
19,Croatia,91.744,129.964,4267558,123696.0
20,Hungary,175.614,226.457,9879000,211529.0
21,Isle of Man,1.306,11.233,84497,369.0
22,Ireland,96.972,97.977,6378000,71944.0
23,Iceland,9.833,9.108,328170,5371.0
24,Italy,1228.725,1435.216,60769102,1564532.0
25,Jersey,2.355,2.226,99000,928.0
26,Liechtenstein,2.519,4.203,37132,1279.0
27,Lithuania,63.503,78.688,2927310,60193.0
28,Luxembourg,58.059,54.205,549700,33425.0
29,Latvia,18.404,22.144,1991800,16565.0
30,Monaco,1.426,2.439,36950,607.0
31,Moldova,70.454,88.218,3557600,105854.0
32,Macedonia,60.093,70.622,?,60737.0
33,Malta,16.827,17.862,416055,12261.0
34,Montenegro,44.065,46.463,?,34454.0
35,Netherlands,398.540,462.875,16881000,512695.0
36,Norway,37.991,42.690,5156450,34747.0
37,Poland,849.216,961.981,38496000,973595.0
38,Portugal,318.883,351.085,10477800,326556.0
39,Romania,269.846,397.763,19942642,465983.0
40,Russia,971.269,1718.752,146233000,2269316.0
41,San Marino,5.324,8.161,32743,1593.0
42,Serbia,180.556,222.425,7186862,163038.0
43,Slovakia,107.583,112.510,5415949,104635.0
44,Slovenia,129.414,154.283,2064966,123100.0
45,Sweden,213.849,260.156,9737521,254057.0
46,Ukraine,752.926,933.345,42973696,693419.0
